Material,Material Description,Material type,Plant,Storage location,Material Group,DF stor. loc. level,Base Unit of Measure,Unrestricted,Currency,Value Unrestricted,Transit and Transfer,Val. in Trans./Tfr,Quality Inspection,Value in QualInsp.,Restricted-Use Stock,Value Restricted,Blocked,Value BlockedStock,Returns,Value Rets Blocked
600000813,3053126-Injector,ZSP,VN49,1100,7063,,PC,120,VND,"326,639,241",0,0,0,0,0,0,0,0,0,0
600000814,3053476-Lever Rocker,ZSP,VN49,1100,7063,,PC,12,VND,"15,784,561",0,0,0,0,0,0,0,0,0,0
600000815,"3053478-Lever, rocker",ZSP,VN49,1100,7063,,PC,12,VND,"16,295,168",0,0,0,0,0,0,0,0,0,0
600000823,3055145-Bearing Con rod,ZSP,VN49,1100,7063,,PC,60,VND,"6,258,865",0,0,0,0,0,0,0,0,0,0
600000823,3055145-Bearing Con rod,ZSP,VN49,1100,7063,,PC,240,VND,"25,035,462",0,0,0,0,0,0,0,0,0,0
600000823,3055145-Bearing Con rod,ZSP,VNT0,1100,7063,,PC,12,VND,"1,224,673",0,0,0,0,0,0,0,0,0,0
600000831,"3057139-Rod, Push",ZSP,VN49,1100,7063,,PC,11,VND,"12,389,503",0,0,0,0,0,0,0,0,0,0
600000831,"3057139-Rod, Push",ZSP,VNT0,1100,7063,,PC,3,VND,"3,378,955",0,0,0,0,0,0,0,0,0,0
600000831,"3057139-Rod, Push",ZSP,VNT0,1100,7063,,PC,1,VND,"1,126,318",0,0,0,0,0,0,0,0,0,0
600000841,"3060912-Gasket, CNN",ZSP,VN49,1100,7063,,PC,6,VND,"1,277,025",0,0,0,0,0,0,0,0,0,0
600000848,3062322-CONTROL GOVERNOR,ZSP,VN49,1100,7063,,PC,1,VND,"17,558,982",0,0,0,0,0,0,0,0,0,0
600000873,3066882-CMS,ZSP,VNT0,1100,7063,,PC,1,VND,"34,054,164",0,0,0,0,0,0,0,0,0,0
600000873,3066882-CMS,ZSP,VNT0,1100,7063,,PC,1,VND,"34,054,164",0,0,0,0,0,0,0,0,0,0
600000876,"3067459-Gasket, rocket lever",ZSP,VN49,1100,7063,,PC,11,VND,"3,943,935",0,0,0,0,0,0,0,0,0,0
600000876,"3067459-Gasket, rocket lever",ZSP,VN49,1100,7063,,PC,12,VND,"4,302,475",0,0,0,0,0,0,0,0,0,0
600000876,"3067459-Gasket, rocket lever",ZSP,VN49,1100,7063,,PC,24,VND,"8,604,950",0,0,0,0,0,0,0,0,0,0
600000876,"3067459-Gasket, rocket lever",ZSP,VNT0,1100,7063,,PC,9,VND,"2,909,281",0,0,0,0,0,0,0,0,0,0
600000905,"3071085-Seal, water pump",ZSP,VNT0,1100,7063,,PC,1,VND,"1,250,524",0,0,0,0,0,0,0,0,0,0
600000905,"3071085-Seal, water pump",ZSP,VNT0,1100,7063,,PC,6,VND,"7,503,147",0,0,0,0,0,0,0,0,0,0
600000911,3074225-Barrel & Plunger,ZSP,VN49,1100,7063,,PC,2,VND,"7,026,593",0,0,0,0,0,0,0,0,0,0
600000920,3076125-Barrel & plunger,ZSP,VN49,1100,7063,,PC,9,VND,"51,287,089",0,0,0,0,0,0,0,0,0,0
600000920,3076125-Barrel & plunger,ZSP,VN49,1100,7063,,PC,30,VND,"170,956,963",0,0,0,0,0,0,0,0,0,0
600000921,3076126-Barrel & plunger,ZSP,VN49,1100,7063,,PC,1,VND,"5,892,416",0,0,0,0,0,0,0,0,0,0
600000921,3076126-Barrel & plunger,ZSP,VN49,1100,7063,,PC,8,VND,"47,139,324",0,0,0,0,0,0,0,0,0,0
600000928,3076489-Thermostat L10,ZSP,VN49,1100,7063,,PC,2,VND,"1,015,208",0,0,0,0,0,0,0,0,0,0
600000935,"3077198-Gasket, Rocker Lever",ZSP,VN49,1100,7063,,PC,1,VND,"743,023",0,0,0,0,0,0,0,0,0,0
600000935,"3077198-Gasket, Rocker Lever",ZSP,VN49,1100,7063,,PC,3,VND,"2,229,070",0,0,0,0,0,0,0,0,0,0
600000935,"3077198-Gasket, Rocker Lever",ZSP,VNT0,1100,7063,,PC,14,VND,"10,402,328",0,0,0,0,0,0,0,0,0,0
600000935,"3077198-Gasket, Rocker Lever",ZSP,VNT0,1100,7063,,PC,5,VND,"3,715,117",0,0,0,0,0,0,0,0,0,0
600000939,"3077716-Cup, Injector",ZSP,VN49,1100,7063,,PC,58,VND,"58,843,821",0,0,0,0,0,0,0,0,0,0
600000939,"3077716-Cup, Injector",ZSP,VN49,1100,7063,,PC,6,VND,"6,087,292",0,0,0,0,0,0,0,0,0,0
600000939,"3077716-Cup, Injector",ZSP,VN49,1100,7063,,PC,6,VND,"6,087,292",0,0,0,0,0,0,0,0,0,0
600000939,"3077716-Cup, Injector",ZSP,VN49,1100,7063,,PC,72,VND,"73,047,502",0,0,0,0,0,0,0,0,0,0
600000939,"3077716-Cup, Injector",ZSP,VN49,1100,7063,,PC,49,VND,"49,712,883",0,0,0,0,0,0,0,0,0,0
600000939,"3077716-Cup, Injector",ZSP,VN49,1100,7063,,PC,24,VND,"24,349,167",0,0,0,0,0,0,0,0,0,0
600000939,"3077716-Cup, Injector",ZSP,VN49,1100,7063,,PC,216,VND,"219,142,506",0,0,0,0,0,0,0,0,0,0
600000939,"3077716-Cup, Injector",ZSP,VN49,1100,7063,,PC,53,VND,"53,771,078",0,0,0,0,0,0,0,0,0,0
600000939,"3077716-Cup, Injector",ZSP,VN49,1100,7063,,PC,12,VND,"12,174,584",0,0,0,0,0,0,0,0,0,0
600000939,"3077716-Cup, Injector",ZSP,VNT0,1100,7063,,PC,24,VND,"24,156,307",0,0,0,0,0,0,0,0,0,0
600000944,"3080708-Nozzle, piston cooling",ZSP,VN49,1100,7063,,PC,6,VND,"2,149,245",0,0,0,0,0,0,0,0,0,0
600000944,"3080708-Nozzle, piston cooling",ZSP,VNT0,1100,7063,,PC,4,VND,"1,432,830",0,0,0,0,0,0,0,0,0,0
600000944,"3080708-Nozzle, piston cooling",ZSP,VNT0,1100,7063,,PC,12,VND,"4,298,490",0,0,0,0,0,0,0,0,0,0
600000950,"3081248-Roller, cam follower",ZSP,VN49,1100,7063,,PC,120,VND,"24,999,579",0,0,0,0,0,0,0,0,0,0
600000982,3092484-Gasket Lever,ZSP,VN49,1100,7063,,PC,12,VND,"3,636,234",0,0,0,0,0,0,0,0,0,0
600000982,3092484-Gasket Lever,ZSP,VN49,1100,7063,,PC,12,VND,"3,636,234",0,0,0,0,0,0,0,0,0,0
600000982,3092484-Gasket Lever,ZSP,VNT0,1100,7063,,PC,1,VND,"262,743",0,0,0,0,0,0,0,0,0,0
600000988,"3094909-Belt, V ribbed",ZSP,VN49,1100,7063,,PC,2,VND,"1,602,969",0,0,0,0,0,0,0,0,0,0
600000994,3096857-Valve shutoff,ZSP,VN49,1100,7063,,PC,1,VND,"3,301,053",0,0,0,0,0,0,0,0,0,0
600001036,3164067-Gasket White Form,ZSP,VN49,1100,7063,,PC,12,VND,"3,693,479",0,0,0,0,0,0,0,0,0,0
600001036,3164067-Gasket White Form,ZSP,VNT0,1100,7063,,PC,7,VND,"2,120,562",0,0,0,0,0,0,0,0,0,0
600001054,"3176772-Shaft, rocker lever",ZSP,VN49,1100,7063,,PC,12,VND,"27,548,013",0,0,0,0,0,0,0,0,0,0
600001068,"3202210-Guide, valve Stem",ZSP,VN49,1100,7063,,PC,50,VND,"7,484,440",0,0,0,0,0,0,0,0,0,0
600001068,"3202210-Guide, valve Stem",ZSP,VN49,1100,7063,,PC,72,VND,"10,777,594",0,0,0,0,0,0,0,0,0,0
600001068,"3202210-Guide, valve Stem",ZSP,VN49,1100,7063,,PC,96,VND,"14,370,125",0,0,0,0,0,0,0,0,0,0
600001068,"3202210-Guide, valve Stem",ZSP,VN49,1100,7063,,PC,24,VND,"3,592,531",0,0,0,0,0,0,0,0,0,0
600001079,327-1379-02 - PCB Assy,ZSP,VN49,1100,7063,,PC,1,VND,"42,754,039",0,0,0,0,0,0,0,0,0,0
600001089,"3279720-Cup, injector",ZSP,VN49,1100,7063,,PC,18,VND,"23,660,909",0,0,0,0,0,0,0,0,0,0
